menu_id,restaurant_id,food_id,menu_price,availability
1,11,7,534,Available
2,22,14,536,Available
3,33,21,401,Unavailable
4,44,28,392,Available
5,55,35,305,Available
6,66,42,263,Available
7,77,49,240,Available
8,88,56,349,Available
9,99,63,214,Available
10,10,70,621,Unavailable
11,21,77,613,Unavailable
12,32,84,162,Available
13,43,91,418,Unavailable
14,54,98,440,Available
15,65,5,272,Available
16,76,12,340,Unavailable
17,87,19,151,Unavailable
18,98,26,414,Available
19,9,33,398,Available
20,20,40,318,Available
21,31,47,310,Available
22,42,54,259,Available
23,53,61,630,Available
24,64,68,533,Available
25,75,75,365,Available
26,86,82,423,Available
27,97,89,514,Available
28,8,96,588,Available
29,19,3,118,Available
30,30,10,603,Available
31,41,17,651,Available
32,52,24,599,Available
33,63,31,448,Available
34,74,38,532,Unavailable
35,85,45,330,Available
36,96,52,134,Available
37,7,59,284,Available
38,18,66,575,Available
39,29,73,586,Available
40,40,80,530,Unavailable
41,51,87,299,Available
42,62,94,120,Available
43,73,1,609,Unavailable
44,84,8,443,Available
45,95,15,91,Available
46,6,22,217,Available
47,17,29,286,Available
48,28,36,429,Available
49,39,43,390,Unavailable
50,50,50,115,Unavailable
51,61,57,105,Available
52,72,64,547,Available
53,83,71,516,Available
54,94,78,586,Available
55,5,85,326,Unavailable
56,16,92,505,Available
57,27,99,395,Available
58,38,6,351,Unavailable
59,49,13,125,Available
60,60,20,418,Available
61,71,27,492,Available
62,82,34,100,Available
63,93,41,623,Available
64,4,48,263,Available
65,15,55,483,Unavailable
66,26,62,355,Available
67,37,69,606,Unavailable
68,48,76,373,Available
69,59,83,387,Available
70,70,90,497,Unavailable
71,81,97,86,Available
72,92,4,367,Available
73,3,11,284,Available
74,14,18,291,Available
75,25,25,396,Unavailable
76,36,32,258,Available
77,47,39,532,Available
78,58,46,377,Available
79,69,53,546,Available
80,80,60,630,Available
81,91,67,404,Available
82,2,74,550,Available
83,13,81,392,Available
84,24,88,125,Available
85,35,95,469,Available
86,46,2,419,Available
87,57,9,401,Available
88,68,16,632,Available
89,79,23,387,Available
90,90,30,490,Available
91,1,37,556,Unavailable
92,12,44,403,Available
93,23,51,586,Available
94,34,58,199,Unavailable
95,45,65,226,Available
96,56,72,242,Available
97,67,79,361,Unavailable
98,78,86,216,Available
99,89,93,520,Unavailable
100,100,100,459,Available
