order_id,user_id,restaurant_id,food_id,quantity,order_date,payment_method,subtotal,delivery_fee,discount,total_amount,order_status
1,20,20,73,3,2026-02-18,Cash,1698,20,0,1718,Preparing
2,77,80,29,4,2026-05-28,Wallet,1104,50,30,1124,Cancelled
3,40,73,80,1,2026-04-09,UPI,530,20,0,550,Delivered
4,31,23,71,1,2026-07-15,Wallet,536,30,0,566,Cancelled
5,38,5,30,3,2026-02-22,Credit Card,1530,40,30,1540,Delivered
6,81,76,85,2,2026-04-21,Credit Card,632,50,0,682,Delivered
7,19,10,8,2,2026-05-15,UPI,866,40,50,856,Cancelled
8,89,39,90,4,2026-08-15,UPI,1988,40,50,1978,Preparing
9,6,56,95,3,2026-02-08,Wallet,1407,40,0,1447,Preparing
10,3,98,87,3,2026-08-17,Cash,897,20,0,917,Delivered
11,24,75,56,4,2026-06-14,Debit Card,1316,20,30,1306,Delivered
12,86,14,21,3,2026-05-22,Cash,1203,50,30,1223,Preparing
13,5,59,12,3,2026-02-25,Cash,1020,40,20,1040,Preparing
14,1,85,70,4,2026-04-17,Debit Card,2564,50,0,2614,Preparing
15,97,64,81,4,2026-05-18,Credit Card,1488,20,0,1508,Delivered
16,57,90,63,1,2026-04-23,Credit Card,204,20,50,174,Delivered
17,71,2,71,4,2026-02-15,UPI,2144,20,0,2164,Out for Delivery
18,20,64,92,3,2026-08-16,Credit Card,1515,40,30,1525,Cancelled
19,71,19,50,2,2026-05-25,Cash,210,30,0,240,Delivered
20,65,35,1,3,2026-08-28,Credit Card,1887,40,50,1877,Cancelled
21,69,62,45,3,2026-06-28,Credit Card,960,50,30,980,Out for Delivery
22,31,74,50,2,2026-06-24,Cash,210,50,0,260,Out for Delivery
23,49,50,85,2,2026-03-17,Wallet,632,50,0,682,Delivered
24,13,57,13,4,2026-07-28,Credit Card,500,20,0,520,Delivered
25,61,34,44,4,2026-07-11,Cash,1692,20,20,1692,Preparing
26,5,80,9,2,2026-02-14,UPI,802,40,0,842,Out for Delivery
27,91,13,57,2,2026-01-11,UPI,170,40,0,210,Delivered
28,46,48,56,2,2026-07-19,Credit Card,658,30,50,638,Delivered
29,23,11,79,4,2026-03-08,Cash,1444,30,30,1444,Out for Delivery
30,33,59,33,1,2026-03-03,Cash,388,50,20,418,Delivered
31,76,39,82,4,2026-05-07,Cash,1692,40,30,1702,Cancelled
32,14,31,49,3,2026-01-27,Cash,690,40,20,710,Delivered
